Region,Savings £0,Savings but under £1500,Savings £1500 or more
London,50,10,40
North East,48,11,41
North West,47,12,41
West Midlands,48,12,40
Wales,48,12,40
Northern Ireland,49,12,39
East Midlands,42,13,45
Scotland,43,11,46
Yorks and Humberside,38,13,48
Eastern,36,13,51
South East,33,13,54
South West,33,13,54
