Region,Savings £0,Savings but under £1500,Savings £1500 or more
London,51,10,39
North East,49,9,41
North West,47,12,41
West Midlands,48,11,41
Wales,48,12,40
Northern Ireland,47,13,40
East Midlands,41,13,46
Scotland,42,11,46
Yorks and Humberside,39,14,48
Eastern,36,13,51
South East,35,12,53
South West,32,13,55
