Country,Gold,Silver,Bronze,Total
Grenada,1,0,0,1
Jamaica,4,4,4,12
Bahamas,1,0,0,1
New Zealand,5,3,5,13
Trinidad and Tobago,1,0,3,4
Hungary,8,4,5,17
Slovenia,1,1,2,4
Montenegro,0,1,0,1
Lithuania,2,1,2,5
Denmark,2,4,3,9
Croatia,3,1,2,6
Australia,7,16,12,35
Georgia,1,3,3,7
Belarus,3,5,5,13
Mongolia,0,2,3,5
Cuba,5,3,6,14
Great Britain,29,17,19,65
Netherlands,6,6,8,20
Estonia,0,1,1,2
Czech Republic,4,3,3,10
