continent,Country of origin,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Europe,Germany,889.4,891.7,"1,172.9","1,280.9","1,274.7","1,196.6","1,052.4","1,068.9","1,257.4","1,214.5","1,199.1","1,295.3","1,341.1","1,401.2","1,472.8","1,462.3",1452.4,1507.1,246.2
Europe,Greece,97.8,96.6,109.8,111.8,102.5,99.6,124.4,116.9,104.5,134.4,92.3,110.8,155.4,147.8,146.6,133.4,103.6,162.1,37.5
Asia,Hong Kong,96.1,78.8,82.9,88.9,96.6,85.1,84.5,86.7,84.4,97.9,92.7,99.5,107.5,134.4,145.4,154.8,181.0,268.4,27.8
Europe,Hungary,43.7,45.1,83.5,120.9,119.5,149.1,108.2,102.4,75.6,80.7,104.9,88.2,115.6,95.2,116.8,153.5,189.2,139.7,23.4
Europe,Iceland,20.1,23.7,49.8,43.0,46.7,46.1,32.3,23.7,19.9,24.5,25.4,29.0,28.5,26.1,37.2,70.5,46.9,26.5,5.5
Asia,India,135.2,130.4,160.3,166.0,229.6,219.7,241.6,177.9,235.9,235.3,231.5,243.6,252.3,275.7,273.4,382.4,367.1,444.6,48.7
Asia,Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,18.5,17.9,22.1,24.8,32.6,36.4,37.1,39.1,3.6
Europe,Irish Republic,628.9,623.6,682.8,726.5,718.4,732.3,736.1,690.4,656.6,620.3,595.9,610.6,620.3,793.2,806.4,826.5,649.5,748.5,197.9
Asia,Israel,152.7,122.7,127.4,106.9,138.4,102.7,125.7,124.9,122.8,120.5,108.2,141.0,147.6,164.7,154.4,202.1,231.4,226.3,38.1
Europe,Italy,541.6,601.4,765.4,643.7,851.2,837.7,981.0,747.6,932.2,"1,009.3",962.8,"1,072.2","1,185.7","1,165.1","1,251.5","1,052.0",989.9,1391.7,175.2
Asia,Japan,294.5,232.5,265.0,242.9,245.2,220.1,167.8,180.5,168.2,166.4,177.9,155.3,157.5,151.4,180.3,174.8,192.7,310.1,66.8
Africa,Kenya,31.6,19.8,22.1,16.5,15.9,12.7,24.6,14.9,18.5,17.8,20.8,22.3,12.5,22.4,24.5,29.3,19.8,19.6,3.7
Asia,Kuwait,31.1,36.2,32.5,33.8,43.6,46.7,35.4,49.0,41.9,52.8,50.5,105.7,84.3,83.4,91.5,98.2,79.7,138.4,26.5
Europe,Luxembourg,23.9,16.9,38.4,25.9,28.2,31.7,35.0,27.9,26.8,40.0,40.1,51.2,56.1,78.1,61.3,41.0,54.8,69.9,1.0
Asia,Malaysia,60.5,46.7,65.0,52.8,52.7,47.0,45.6,77.9,89.8,82.5,72.0,113.4,109.5,126.0,128.7,123.2,122.0,135.1,20.2
South America,Mexico,53.0,57.9,52.2,55.0,69.5,38.1,50.4,60.7,51.9,62.2,69.8,91.4,72.8,82.2,83.0,126.9,110.2,145.3,24.5
Europe,Netherlands,492.4,619.2,578.3,606.7,659.8,665.3,654.1,683.9,621.2,631.2,637.9,686.7,705.2,690.5,805.6,825.6,695.2,711.7,166.2
Oceania,New Zealand,82.7,100.5,101.9,121.7,124.5,119.7,103.1,108.8,111.3,95.5,104.5,93.7,106.6,118.4,107.7,112.1,118.9,119.3,9.0
Africa,Nigeria,93.0,85.6,120.6,119.8,118.4,125.0,113.6,116.5,124.6,106.1,109.9,120.7,95.8,89.8,66.3,77.7,79.1,154.5,27.8
Europe,Norway,178.4,182.0,218.0,265.9,302.2,306.6,337.6,324.1,372.1,382.1,396.8,480.1,471.9,434.6,380.4,336.7,357.2,321.0,62.5
Asia,Oman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,8.5,12.1,9.6,14.3,22.3,21.5,21.5,23.0,0.6
Africa,Other Africa,102.6,100.9,113.5,93.5,98.6,110.8,83.3,93.9,87.8,77.1,88.5,113.4,106.3,96.9,85.7,116.0,95.9,79.6,27.1
Asia,Other Asia,68.6,56.0,65.5,76.0,60.8,73.4,71.8,51.9,59.7,59.6,59.9,75.7,87.1,74.5,82.6,82.3,91.2,108.1,26.3
South America,Other Central & South America,106.0,98.0,103.2,108.2,108.5,119.2,76.1,90.5,84.6,85.0,84.8,128.3,111.1,88.6,118.6,148.0,147.8,184.1,28.6
Europe,Other Eastern Europe,79.3,74.4,86.2,285.3,404.8,485.0,352.5,266.9,261.2,291.3,291.1,307.6,258.3,314.0,349.5,383.6,431.7,443.0,77.1
Asia,Other Middle East,80.6,66.9,83.2,77.8,97.0,93.2,91.6,115.1,97.4,55.8,45.5,40.4,55.3,43.5,48.2,53.7,50.9,50.2,5.3
Africa,Other Southern Africa,19.0,11.9,13.6,12.2,11.4,12.3,11.7,5.6,1.8,21.3,19.4,17.0,19.6,16.5,17.6,30.1,19.9,19.9,6.2
Europe,Other Western Europe,80.3,75.1,101.9,81.8,106.9,122.8,118.2,122.6,96.6,94.1,94.8,103.5,117.6,113.6,132.3,145.8,92.0,164.1,35.4
Asia,Pakistan,43.0,35.6,49.2,58.3,66.1,55.5,47.7,38.4,32.5,31.4,40.6,39.7,49.0,35.1,39.8,47.3,47.3,57.1,16.5
Europe,Poland,115.3,167.2,277.8,425.2,528.2,432.7,451.3,359.6,355.7,353.7,396.2,419.2,446.5,531.4,534.1,506.8,510.3,517.5,107.4
Europe,Portugal,97.8,97.5,97.0,113.6,120.8,144.1,133.8,136.7,172.4,165.6,153.0,138.0,191.3,223.0,279.9,257.1,215.8,353.7,82.2
Asia,Qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,31.7,43.6,32.8,41.8,51.4,60.0,59.9,109.3,23.4
Europe,Romania,0.0,0.0,0.0,0.0,0.0,0.0,101.1,107.8,121.9,127.9,109.8,158.6,170.5,237.7,277.6,320.9,313.9,309.4,72.0
Europe,Russia,143.2,160.1,193.4,133.2,159.6,165.1,125.0,85.7,119.1,154.4,155.3,147.2,164.8,99.0,92.6,153.3,121.9,118.7,25.8
